Actual_Price,Linear Regression_Predicted,Random Forest_Predicted,XGBoost_Predicted
2740,2737.25,2603.45,2757.5146
5780,5038.75,5079.9,4558.2715
9680,8741.125,9002.35,8477.56
1550,1650.5,1555.7,1466.867
2000,2350.75,2005.45,2144.0493
2710,2709.75,2590.8,2391.2063
2790,2787.25,2700.55,2684.515
2640,2426.25,2597.35,2763.528
9410,9655.0,9635.85,9311.557
7220,5683.0,6717.8,6301.0347
3610,3610.0625,3395.35,3793.1638
17040,11866.0,17086.0,17107.64
4520,4135.5,4227.7,3798.7844
1870,1551.75,1749.65,1918.7006
1680,1672.75,1590.4,2003.0483
9680,8663.25,9243.75,9032.77
19910,19908.25,17283.8,19390.797
2960,3753.75,3078.75,3180.721
1820,1704.25,1751.3,1944.0726
2870,2876.25,3059.15,3262.157
4550,3765.3125,4382.65,4187.9346
1870,1294.25,1637.4,1413.5125
5700,5700.25,6217.85,5954.435
2970,2967.5,2980.3,3068.9724
1660,1345.0,1529.75,1672.8552
7250,6531.0,5949.3,6708.3965
4490,4103.5625,4368.75,3944.807
1770,1955.75,1571.3,1562.7128
4770,4468.25,4483.05,3845.008
1600,1623.75,1485.45,1366.2954
17390,16001.5,16596.4,16843.848
3560,4623.25,3566.15,3551.8289
4510,4156.25,4339.4,3802.983
4080,4078.75,3586.5,3001.0906
3200,3285.25,3357.4,2968.8894
3910,3905.75,3920.3,3814.4888
5320,6294.875,5598.6,5748.3525
5390,4615.875,4919.35,4747.533
4860,4150.75,4771.1,4716.1963
2460,2814.5,2475.55,2474.0876
1920,1920.5,1777.0,1891.0132
3390,2625.75,2937.4,2756.2026
1620,1936.75,1632.4,1660.0187
2300,1823.75,2222.9,2367.7412
3530,3357.0,3176.15,2732.6157
3570,3628.0,3258.2,2994.0852
9820,9819.25,9230.65,9911.808
2090,1756.75,2097.6,1887.565
13570,13573.5,11856.6,13542.674
5100,5017.25,6443.05,6246.0083
11910,11567.25,11712.7,11940.474
6670,6576.0,7034.9,6331.6055
9960,9697.0,9692.6,9311.557
4310,4311.5,3907.5,3228.7764
20650,19122.0,18864.35,19508.154
3350,3242.75,3118.35,2626.7002
9910,6524.9375,8821.75,8753.018
16070,17970.9375,14129.9,14829.68
7240,8507.125,9483.35,6853.5435
8680,8680.625,6473.75,7640.2817
7670,7439.875,7899.55,7423.328
7590,6799.0,6848.35,7345.8267
5740,5203.125,4861.95,5119.763
2360,3053.5625,2276.25,2071.5022
5230,5101.8125,5021.3,4995.015
9690,10049.0,9453.0,8701.294
6100,4592.0,5913.35,5999.105
9050,7876.875,7853.35,7842.361
7140,7143.375,6704.3,6098.972
1530,1877.75,1581.25,1754.2566
1660,821.25,1565.1,1417.1385
4860,3509.5,4632.65,4517.087
5570,5570.875,4211.9,5418.488
2980,3304.25,2950.8,2919.9326
10640,9727.75,9796.55,9399.893
6680,7598.375,6137.35,5948.806
12460,10853.75,11733.4,11866.739
6280,5465.0,5658.0,5051.738
4440,3918.375,4218.4,4056.8413
3130,3129.0,2900.85,2529.7944
23770,18566.8125,23834.0,24137.203
10160,10156.4375,10078.75,9776.202
5680,5676.25,6566.55,5805.0303
7100,6520.5,6861.55,6396.3613
24400,18594.1875,24152.05,24102.766
10580,10534.25,10712.3,10950.061
11550,11551.25,10352.7,10480.247
1520,1508.75,1445.6,1643.8395
4250,4247.75,4688.3,4893.4863
14260,14260.25,13790.65,14385.405
12470,12469.75,11056.3,11426.259
6200,5881.625,5858.5,5199.357
13840,13902.1875,13292.65,13701.586
10650,10219.75,10078.4,9450.754
32180,24045.9375,30319.8,31182.406
10710,10118.25,10338.05,9748.61
1370,1957.75,1378.2,1673.6238
5990,5305.25,5550.6,5342.3135
6480,6884.75,6348.35,6351.7754
2300,2302.0,2304.15,2317.7146
2080,1906.25,2017.8,2240.413
3560,2811.0,3438.8,3124.4246
3090,3091.5,3211.35,2784.2559
2430,3138.0,2750.4,2883.059
1940,1939.5,1832.0,1617.2227
7210,5730.0,5586.2,5255.8184
1760,1108.5,1746.35,1915.3483
2210,2294.25,1928.5,1670.3181
3130,3025.0,3504.65,3088.7544
1530,871.0625,1864.4,2188.3296
4460,4459.75,4249.95,3778.8867
4160,3583.75,3966.6,3770.6204
2840,2841.1875,2547.15,2061.9436
4370,4262.5,5126.6,5178.453
2770,2519.75,3400.85,3014.6248
2770,2504.75,2799.4,2905.039
3640,2673.25,3281.9,3037.4548
2210,437.5,2183.3,2305.1707
2800,2122.5,2632.15,2295.2778
5430,4843.5625,5233.35,5236.1846
9340,7818.75,9681.5,8735.077
1370,1417.25,1396.5,1523.1198
2100,2098.75,2079.55,2190.7842
3890,3749.375,3797.6,3539.4377
2340,1982.0,2389.4,2243.3284
2390,2353.5,2482.85,2500.436
3120,3030.75,2889.25,2957.2344
4980,4983.8125,5128.95,5231.298
4550,4641.25,4494.6,4244.231
2310,2240.0,2535.55,3048.4998
3050,3241.75,3082.55,3144.0732
2410,1819.25,2351.4,2413.6375
3620,3403.75,3137.65,2731.6077
2150,2149.5,2012.7,2213.6843
2480,2481.25,2404.35,3263.5398
1660,945.5625,1797.85,2121.8074
4740,4854.25,4626.85,4239.4985
1930,2429.0,1885.65,2156.6404
4510,4868.625,4207.65,4348.4106
1760,1356.1875,1644.35,1725.9514
2830,1838.4375,2869.35,2834.233
3520,3432.75,3702.55,3596.7085
4080,4080.875,3764.9,3633.74
3090,3163.75,3124.5,3273.1025
2930,2648.25,2678.15,2719.8193
1480,1478.75,2067.75,2515.0002
2590,2592.75,2503.2,2448.9814
2160,2158.75,1916.25,1442.4082
1480,1768.75,1446.95,1523.1198
3390,2514.5625,3366.3,3269.4343
3000,2765.0,2753.45,2452.7354
4800,5893.875,4817.35,4848.438
4300,4299.25,3526.0,3244.9053
3490,4018.25,3429.3,3068.9636
1550,1854.75,1445.05,1406.3528
3750,3749.5,3270.1,2767.899
2320,1713.0,2257.7,2218.9954
1380,983.5,1380.85,1401.393
1350,614.0,1317.8,1401.393
1890,1889.875,1829.0,2024.459
4220,4118.75,4244.7,4298.4497
2050,2155.25,2005.85,2344.6614
2040,2039.75,2023.3,2276.3674
3910,3909.3125,4939.95,4976.0596
2360,2175.0625,2399.65,2271.9363
5300,3944.75,5728.1,5641.6426
4650,5313.625,4527.25,4684.093
2730,3178.25,2753.7,2734.9126
1770,2504.0,1916.0,2081.4856
2530,2317.0,2447.7,3061.1223
3770,2909.5,3520.4,2787.646
1270,821.75,1327.75,1285.9473
1300,1351.75,1366.35,1523.1198
2290,2263.25,2252.2,2367.1846
4750,4226.75,4516.15,4162.0796
2100,2319.5,1943.55,1857.5029
4620,4158.625,4542.15,4343.189
2310,1895.75,2168.95,2158.1716
4570,4409.5,4238.4,3643.7314
2020,2017.75,1895.15,1417.1385
3450,3200.25,3643.3,3704.2551
4870,4269.25,4790.25,4716.1963
2390,2666.0,2260.7,2025.6659
3200,3206.75,3146.85,2806.981
2390,2388.5,2193.9,1819.9403
3740,5111.8125,4393.55,4863.3926
4170,4168.25,4345.25,4322.867
4800,5184.0,4707.25,4848.438
3710,3632.75,3451.6,3226.0308
1970,1990.25,1948.8,2114.1736
4840,3388.25,4552.75,4578.8916
5350,4469.25,5251.8,4658.1245
1920,1922.5,1889.45,2387.601
1560,1187.75,1444.15,1413.5125
4820,4457.1875,4260.45,4236.377
2620,2620.4375,2394.75,2173.5566
1690,1526.5,1699.0,1900.2106
6230,5200.125,5638.15,5789.1025
4320,4318.5,3965.15,3283.5112
2720,2506.75,2656.95,2826.4841
3950,4207.5625,3978.25,4042.7979
4610,3641.25,4296.15,3191.7078
3260,3259.75,2767.55,2427.0889
5010,6882.375,4907.3,5046.84
3450,2603.3125,3354.35,3504.9143
2410,2411.25,2928.55,3436.4456
1740,1436.5,1707.8,1962.5653
2250,1920.5,2286.35,2532.8657
1880,1716.25,1783.8,2276.3674
3760,2947.25,3520.15,3241.3862
1680,1839.25,1706.5,1836.1398
2600,2729.5,2448.75,2692.9478
4820,4801.25,4807.9,4416.951
5090,5379.0,4858.95,4904.606
1980,1895.25,1739.9,1622.0958
2910,2909.5,2845.55,2820.523
4590,5223.9375,4730.6,4700.4995
1960,1544.0,1885.35,2294.6736
6590,6850.25,6607.6,6742.012
2560,2217.0,2516.55,2198.2236
1890,1890.25,2465.3,2944.3584
3460,3539.75,3529.1,3745.509
2410,2613.25,2274.35,1905.4313
3920,4059.5625,3951.75,3917.305
3480,3863.25,3510.7,3851.4343
9740,9739.25,9969.9,9231.887
11140,10565.5,10783.1,10499.8125
3370,3333.25,3480.45,3658.9565
3060,3059.75,2662.9,2349.3484
6680,7447.25,6241.85,6393.8184
2170,2170.75,1961.0,1679.0944
8460,9486.75,8967.25,8476.493
4190,4187.5,4437.5,4414.6567
5050,5402.0,5114.55,4661.142
5320,5459.5,5128.0,4734.328
11320,11099.75,11018.9,11307.889
2980,3442.75,2884.95,2742.9084
5460,4963.5,5310.1,4644.0815
12230,12232.0625,11483.1,12132.594
5910,4535.125,5613.35,4519.281
1530,2996.5,1502.25,1825.1792
4330,4328.25,3593.95,3266.9377
4880,4665.3125,4638.75,4318.0386
4310,3915.875,4272.35,4022.3828
2160,1724.75,2278.8,2533.6646
4160,3850.9375,4041.5,4057.1357
2730,2700.75,2937.45,2564.199
2550,1846.25,2426.7,2750.9517
4740,4499.75,4249.2,4378.2183
1910,1352.5,1801.8,1993.34
3700,3615.25,3808.75,3885.0786
4120,3964.5,3860.55,3494.0627
2250,1942.0,2507.1,2784.4158
4050,2808.0,3965.15,3558.9402
1900,2111.25,1921.65,2113.5825
2040,2151.75,2298.0,2497.0881
3700,3473.75,3683.7,3427.0051
1840,1942.75,1837.7,1938.7163
1630,1773.5,1879.2,1862.0416
4820,4820.125,4423.45,3768.3584
1830,1872.0,1839.6,2004.9651
3520,3217.5,3159.8,3205.9653
4680,4666.25,4578.45,4279.7983
4150,4459.75,4182.4,3738.6091
4020,3771.75,3975.3,3948.5986
2090,2138.5,1954.0,1993.6603
2460,2459.25,2430.0,2429.2178
2750,2416.5,2586.4,2021.3295
3820,2466.75,3337.2,2997.6658
7780,3931.25,7746.9,6537.2617
1710,2074.0625,1766.1,1838.4884
3010,4152.9375,2860.5,2927.4766
3240,3237.25,3218.75,3011.2532
1640,1915.8125,1568.25,2141.996
9940,9772.25,9754.2,9483.384
3960,4222.3125,4181.25,4639.0405
4100,4225.25,4013.65,3765.6106
1710,769.0,1741.95,1691.3967
2030,2037.875,2122.05,2359.3445
16730,20349.3125,16378.5,16832.623
3900,4736.6875,3694.55,3545.882
4600,5813.8125,5585.2,6176.117
1950,1948.25,2238.95,2977.4775
4010,1890.8125,4321.5,4725.7856
3420,3276.875,3522.2,3704.2551
2370,2368.25,2365.0,2488.4
2460,2784.0,2436.9,2300.7021
3010,3274.75,3065.95,2741.6687
17990,17990.0,14413.25,17612.488
10070,9309.8125,9638.8,8936.47
14780,20070.25,14398.6,14569.343
4410,4364.25,4329.45,3717.4014
2410,2571.3125,3086.75,3567.1562
8720,8822.25,8610.8,8683.628
2750,2753.4375,3172.05,3787.959
2320,2054.25,2242.5,2105.9377
4420,4154.5,4639.25,4654.547
2880,2883.5625,3078.25,3851.1218
3160,3169.25,3271.95,2967.7178
2060,1101.5,2044.0,2068.3062
6270,6402.5,6339.8,6756.635
3310,4358.125,3267.2,3354.5918
2500,2970.5625,2797.95,2594.0046
1410,1412.25,1741.3,2191.0847
1750,1690.0,1619.25,1733.2163
2910,2899.25,3063.8,2691.115
2240,1212.0,2106.3,2068.3062
1990,1989.8125,2509.3,3056.0942
3690,3689.25,4088.15,3837.6792
3740,3571.75,3597.5,3423.514
2980,2978.25,3346.55,3707.114
4080,3377.0,4064.65,3668.3618
2700,2275.0,2527.8,2336.4746
4210,4541.5,4443.85,4578.8916
1740,1978.5,1700.85,1993.34
4160,3740.875,4138.5,3984.4912
2770,2770.75,2580.7,2404.513
2110,1780.375,2903.2,2909.727
4190,4683.0,4037.95,3279.4727
1600,1496.0,1591.75,1816.8387
2240,2237.9375,2124.4,1969.2072
2780,2434.25,2687.75,2224.4402
3560,3272.5,3489.85,3010.7327
3980,4281.0,3927.7,3612.4749
1590,1506.75,1615.0,1880.7866
3890,3525.0,3905.65,3554.6492
1980,2229.25,1864.45,2022.249
1970,2039.25,2052.4,2473.1667
4020,3955.25,3849.85,3369.9634
2650,2640.5,2595.1,2889.5813
1690,1273.0,1694.2,1900.2106
2140,2140.625,1976.8,1969.2072
4460,5164.75,4526.05,4212.911
2980,2392.75,2934.4,2718.8594
1960,1837.4375,1821.9,1967.6176
1260,2897.9375,1454.45,2103.8323
12820,11575.75,14003.5,13033.718
4370,4830.75,3802.6,3299.4788
3950,3082.75,3929.05,3996.5024
4920,4920.5,5376.9,5783.2324
1760,1174.25,1687.45,1859.4117
3600,3665.75,3478.4,3195.3977
3840,3835.625,4091.95,4470.7583
3150,3863.75,3431.4,3163.0032
4380,4453.25,4263.55,4199.918
5690,5303.25,5259.25,4949.8555
2480,2236.5625,2384.05,2173.6104
5980,5805.3125,5599.4,5435.3965
2140,2141.0,2324.25,2147.595
5460,5460.375,5422.55,4901.09
4130,4126.125,3807.95,3610.7876
2640,2515.5,2744.05,2896.8042
15300,8724.125,15569.1,15690.644
1740,1740.0,2056.55,2406.3093
1870,1866.5,1975.6,2269.7256
1810,1705.0,2296.85,2805.5784
9870,9104.125,9497.75,8843.985
4610,5082.5,4585.95,4283.081
2620,2735.5,2588.5,2574.6018
2350,2350.75,2275.5,2526.7192
2560,2562.75,2701.55,3113.834
1970,2191.75,1956.1,2010.3376
1170,1328.0,1159.25,1239.426
1620,437.5,1688.25,1774.7686
2010,1999.25,2038.55,2598.4001
1420,1335.75,1464.05,1792.905
2490,2849.25,2411.7,2514.9263
3390,3391.5,3037.15,2694.8892
11810,11812.6875,9715.15,10818.395
1730,2495.25,1943.8,2307.6204
2390,1564.75,2275.4,2473.32
1900,1851.0,2037.85,2192.1235
2790,3095.75,2929.65,2662.0671
20600,19726.25,20666.2,21097.695
2550,2916.75,2576.15,2763.528
3450,3445.0625,3390.4,3186.0461
1480,1057.25,1481.65,1673.6238
4640,5018.75,4536.2,4545.3335
2920,3432.75,2966.65,2829.5903
1710,985.5,1659.65,1700.597
1450,1822.5,1663.85,1808.4637
1670,1671.25,1675.6,1887.149
4640,4643.375,4647.85,5130.4175
1500,2233.25,1489.45,1815.5144
1520,1520.5,1898.1,2435.7886
2370,2370.75,2238.2,2305.1013
4970,6451.375,4695.9,4809.457
1350,2714.25,1344.3,1597.4707
4300,5644.4375,4475.2,4700.4995
1640,1390.5,1537.75,1686.3926
13980,19671.0,13483.2,13811.924
7060,7645.75,7147.4,7565.2646
22310,22050.625,22278.1,22475.697
2450,2207.25,2335.3,1880.1616
3970,4616.4375,3779.75,3925.697
1620,1677.5,1655.55,1891.3275
3120,3029.6875,3109.25,2434.4175
4080,2768.5,4238.85,4517.087
19270,24027.625,17744.25,18978.682
3910,3769.0,3576.0,3497.694
4030,7036.6875,4035.85,3803.9045
7020,7087.5,7116.45,7366.7554
1380,1224.0,1365.6,1372.9106
5930,4496.0,5950.85,6484.0513
5490,4831.375,5509.0,4779.186
1320,1320.25,1446.15,2020.4807
3370,3282.25,3490.5,3489.8975
4450,3196.75,4521.35,4578.8916
1670,1225.25,1666.4,1698.9491
2420,2038.25,2208.9,1915.3483
6450,6174.75,6379.15,6294.5435
9840,10207.25,9619.35,9623.605
9570,10027.75,9529.95,9153.887
2620,3153.75,2988.8,3180.0088
10320,10560.25,10372.1,10457.899
1710,1855.5,1672.05,1807.2352
8590,9675.375,8744.35,8676.037
2070,2069.0,2062.3,2218.9954
10830,11059.5,10684.95,11307.889
8840,9103.75,8673.35,8763.7
8270,7415.5,8347.7,7760.6143
8820,9873.75,9060.1,9253.186
6770,7103.75,6818.1,6727.178
2450,2449.25,2380.45,2388.3682
8820,9918.0,8905.7,8701.294
2310,2560.75,3705.75,3319.6326
11000,11595.5,11426.95,11931.734
2720,3368.25,2790.3,2765.672
9900,9362.1875,9442.6,8890.019
4340,3572.25,3813.85,3471.9756
2890,3702.5,2864.15,2765.672
2550,2880.5,2597.25,2565.836
7070,6474.25,7219.55,7689.6294
3270,2948.25,3319.95,3266.1677
3760,3899.75,4033.4,3467.1392
1680,1240.0,1682.7,1885.564
1620,1756.75,1562.15,1448.5256
2320,2104.25,2343.35,2326.364
2640,2740.1875,2741.15,2919.9038
2560,2924.0,2469.45,2412.2732
1270,686.75,1424.35,1566.8894
2100,2100.0,2035.9,2218.9954
1620,1697.5,1577.8,1701.9409
1410,1749.5,1781.55,2059.3323
1590,1279.0,1636.35,1916.7839
2210,2548.5,2348.7,2384.3052
3890,4859.4375,4595.05,4432.9556
2410,2410.0,2361.65,2283.2131
1680,1458.375,1691.6,1798.913
7510,8401.25,7586.05,7704.3413
1140,741.25,1140.35,1442.2972
1620,1618.0,1648.15,1998.7201
3740,2833.75,3388.65,3132.0146
2220,2221.3125,2202.8,2198.7761
4330,5229.25,4490.8,4668.768
3670,3216.75,3582.5,3121.021
